user_id,game_id,guess_num,word
1,1139,1,adieu
1,1139,2,story
1,1139,3,naval
1,1139,4,clamp
1,1139,5,chalk
2,1139,1,pious
2,1139,2,grate
2,1139,3,chalk
3,1139,1,groin
3,1139,2,saute
3,1139,3,black
3,1139,4,chalk
1,1141,1,adieu
1,1141,2,story
1,1141,3,sable
1,1141,4,scale
2,1141,1,scale
3,1141,1,saute
3,1141,2,groin
3,1141,3,scale
1,1143,1,adieu
1,1143,2,story
1,1143,3,pulse
1,1143,4,busks
1,1143,5,uncle
1,1143,6,ensue
2,1143,1,ensue
3,1143,1,saute
3,1143,2,groin
3,1143,3,nurse
3,1143,4,uncle
3,1143,5,ensue
1,1155,1,adieu
1,1155,2,story
1,1155,3,stork
1,1155,4,storm
2,1155,1,pious
2,1155,2,storm
3,1155,1,saute
3,1155,2,groin
3,1155,3,spook
3,1155,4,scold
3,1155,5,stomp
3,1155,6,stork
